PLAYER,2019/20 ,2019/20(*)
Jaxson Hayes,"$4,862,040 ","$5,791,499 "
Buddy Hield,"$4,861,207 ","$5,790,507 "
Frank Ntilikina,"$4,855,800 ","$5,784,067 "
Rodney McGruder,"$4,807,693 ","$5,726,763 "
Ed Davis,"$4,767,000 ","$5,678,291 "
Richaun Holmes,"$4,767,000 ","$5,678,291 "
Frank Kaminsky,"$4,767,000 ","$5,678,291 "
Mike Scott,"$4,767,000 ","$5,678,291 "
Robin Lopez,"$4,767,000 ","$5,678,291 "
Avery Bradley,"$4,767,000 ","$5,678,291 "
JaMychal Green,"$4,767,000 ","$5,678,291 "
Justin Holiday,"$4,767,000 ","$5,678,291 "
Garrett Temple,"$4,767,000 ","$5,678,291 "
Enes Kanter,"$4,767,000 ","$5,678,291 "
Collin Sexton,"$4,764,960 ","$5,675,861 "
Rui Hachimura,"$4,469,160 ","$5,323,514 "
Kevon Looney,"$4,464,286 ","$5,317,708 "
Dennis Smith,"$4,463,640 ","$5,316,939 "
Jamal Murray,"$4,444,746 ","$5,294,433 "
Kevin Knox,"$4,380,120 ","$5,217,452 "
Cam Reddish,"$4,245,720 ","$5,057,360 "
Zach Collins,"$4,240,200 ","$5,050,784 "
Mikal Bridges,"$4,161,000 ","$4,956,444 "
Alex Len,"$4,160,000 ","$4,955,253 "
Nicolo Melli,"$4,102,564 ","$4,886,837 "
Cameron Johnson,"$4,033,440 ","$4,804,499 "
Malik Monk,"$4,028,400 ","$4,798,495 "
Patrick McCaw,"$4,000,000 ","$4,764,666 "
Reggie Bullock,"$4,000,000 ","$4,764,666 "
JaVale McGee,"$4,000,000 ","$4,764,666 "
Dorian Finney-Smith,"$4,000,000 ","$4,764,666 "
Shai Gilgeous-Alexander,"$3,952,920 ","$4,708,586 "
PJ Washington,"$3,831,840 ","$4,564,360 "
Luke Kennard,"$3,827,160 ","$4,558,785 "
Miles Bridges,"$3,755,400 ","$4,473,307 "
Jakob Poeltl,"$3,754,885 ","$4,472,693 "
Tyler Herro,"$3,640,200 ","$4,336,084 "
Donovan Mitchell,"$3,635,760 ","$4,330,796 "
Stanley Johnson,"$3,623,000 ","$4,315,596 "
Jake Layman,"$3,581,986 ","$4,266,742 "
Thon Maker,"$3,569,643 ","$4,252,039 "
Jerome Robinson,"$3,567,720 ","$4,249,749 "
Danuel House,"$3,540,000 ","$4,216,729 "
Domantas Sabonis,"$3,529,554 ","$4,204,287 "
DeMarcus Cousins,"$3,500,000 ","$4,169,083 "
TJ McConnell,"$3,500,000 ","$4,169,083 "
